# x	: fraction synchrotron photon frequency to critical frequency
# log10(x)	CDF
# 
5.60000e-01	1.53234e+00
5.70000e-01	1.53834e+00
5.80000e-01	1.54403e+00
5.90000e-01	1.54942e+00
6.00000e-01	1.55450e+00
6.10000e-01	1.55929e+00
6.20000e-01	1.56380e+00
6.30000e-01	1.56802e+00
6.40000e-01	1.57198e+00
6.50000e-01	1.57567e+00
6.60000e-01	1.57912e+00
6.70000e-01	1.58232e+00
6.80000e-01	1.58529e+00
6.90000e-01	1.58803e+00
7.00000e-01	1.59057e+00
7.10000e-01	1.59290e+00
7.20000e-01	1.59504e+00
7.30000e-01	1.59701e+00
7.40000e-01	1.59880e+00
7.50000e-01	1.60043e+00
7.60000e-01	1.60191e+00
7.70000e-01	1.60325e+00
7.80000e-01	1.60445e+00
7.90000e-01	1.60554e+00
8.00000e-01	1.60652e+00
8.10000e-01	1.60739e+00
8.20000e-01	1.60816e+00
8.30000e-01	1.60885e+00
8.40000e-01	1.60946e+00
8.50000e-01	1.61000e+00
8.60000e-01	1.61047e+00
8.70000e-01	1.61088e+00
8.80000e-01	1.61124e+00
8.90000e-01	1.61155e+00
9.00000e-01	1.61182e+00
9.10000e-01	1.61205e+00
9.20000e-01	1.61225e+00
9.30000e-01	1.61242e+00
9.40000e-01	1.61257e+00
9.50000e-01	1.61269e+00
9.60000e-01	1.61279e+00
9.70000e-01	1.61288e+00
9.80000e-01	1.61295e+00
9.90000e-01	1.61301e+00
1.00000e+00	1.61306e+00
1.01000e+00	1.61310e+00
1.02000e+00	1.61313e+00
1.03000e+00	1.61316e+00
1.04000e+00	1.61318e+00
1.05000e+00	1.61320e+00
1.06000e+00	1.61321e+00
1.07000e+00	1.61323e+00
1.08000e+00	1.61323e+00
1.09000e+00	1.61324e+00
1.10000e+00	1.61325e+00
1.11000e+00	1.61325e+00
1.12000e+00	1.61325e+00
1.13000e+00	1.61326e+00
1.14000e+00	1.61326e+00
1.15000e+00	1.61326e+00
1.16000e+00	1.61326e+00
1.17000e+00	1.61326e+00
1.18000e+00	1.61326e+00
1.19000e+00	1.61326e+00
1.20000e+00	1.61326e+00
1.21000e+00	1.61326e+00
1.22000e+00	1.61326e+00
1.23000e+00	1.61326e+00
1.24000e+00	1.61326e+00
1.25000e+00	1.61326e+00
1.26000e+00	1.61326e+00
1.27000e+00	1.61326e+00
1.28000e+00	1.61326e+00
1.29000e+00	1.61326e+00
1.30000e+00	1.61326e+00
1.31000e+00	1.61326e+00
1.32000e+00	1.61326e+00
1.33000e+00	1.61326e+00
1.34000e+00	1.61326e+00
1.35000e+00	1.61326e+00
1.36000e+00	1.61326e+00
1.37000e+00	1.61326e+00
1.38000e+00	1.61326e+00
1.39000e+00	1.61326e+00
1.40000e+00	1.61326e+00
1.41000e+00	1.61326e+00
1.42000e+00	1.61326e+00
1.43000e+00	1.61326e+00
1.44000e+00	1.61326e+00
1.45000e+00	1.61326e+00
1.46000e+00	1.61326e+00
1.47000e+00	1.61326e+00
1.48000e+00	1.61326e+00
1.49000e+00	1.61326e+00
1.50000e+00	1.61326e+00
1.51000e+00	1.61326e+00
1.52000e+00	1.61326e+00
1.53000e+00	1.61326e+00
1.54000e+00	1.61326e+00
1.55000e+00	1.61326e+00
1.56000e+00	1.61326e+00
1.57000e+00	1.61326e+00
1.58000e+00	1.61326e+00
1.59000e+00	1.61326e+00
1.60000e+00	1.61326e+00
1.61000e+00	1.61326e+00
1.62000e+00	1.61326e+00
1.63000e+00	1.61326e+00
1.64000e+00	1.61326e+00
1.65000e+00	1.61326e+00
1.66000e+00	1.61326e+00
1.67000e+00	1.61326e+00
1.68000e+00	1.61326e+00
1.69000e+00	1.61326e+00
1.70000e+00	1.61326e+00
1.71000e+00	1.61326e+00
1.72000e+00	1.61326e+00
1.73000e+00	1.61326e+00
1.74000e+00	1.61326e+00
1.75000e+00	1.61326e+00
1.76000e+00	1.61326e+00
1.77000e+00	1.61326e+00
