# Photo-pion interaction rate for the cosmic infrared and optical background radiation model of Kneiske et al. 2004
#  (redshift dependent)z	log10(gamma)	1/lambda_proton [1/Mpc]	1/lambda_neutron [1/Mpc]
0.10	7.28	2.392203e-08	2.468895e-08
0.10	7.32	3.455812e-08	3.574540e-08
0.10	7.36	4.820618e-08	4.995419e-08
0.10	7.40	6.510258e-08	6.755794e-08
0.10	7.44	8.536088e-08	8.866249e-08
0.10	7.48	1.090097e-07	1.132742e-07
0.10	7.52	1.361389e-07	1.414477e-07
0.10	7.56	1.670824e-07	1.734815e-07
0.10	7.60	2.024642e-07	2.099651e-07
0.10	7.64	2.432260e-07	2.518110e-07
0.10	7.68	2.907046e-07	3.003410e-07
0.10	7.72	3.466804e-07	3.573496e-07
0.10	7.76	4.134630e-07	4.252033e-07
0.10	7.80	4.939610e-07	5.069107e-07
0.10	7.84	5.913258e-07	6.057481e-07
0.10	7.88	7.085855e-07	7.248723e-07
0.10	7.92	8.485971e-07	8.672563e-07
0.10	7.96	1.014046e-06	1.035686e-06
0.10	8.00	1.207468e-06	1.232788e-06
0.10	8.04	1.431266e-06	1.461004e-06
0.10	8.08	1.687713e-06	1.722576e-06
0.10	8.12	1.978591e-06	2.019184e-06
0.10	8.16	2.304855e-06	2.351587e-06
0.10	8.20	2.666397e-06	2.719385e-06
0.10	8.24	3.061601e-06	3.120569e-06
0.10	8.28	3.487695e-06	3.551869e-06
0.10	8.32	3.940691e-06	4.008676e-06
0.10	8.36	4.414828e-06	4.484548e-06
0.10	8.40	4.902453e-06	4.971062e-06
0.10	8.44	5.394276e-06	5.458058e-06
0.10	8.48	5.880485e-06	5.934868e-06
0.10	8.52	6.351504e-06	6.391108e-06
0.10	8.56	6.799193e-06	6.817979e-06
0.10	8.60	7.218103e-06	7.209660e-06
0.10	8.64	7.605585e-06	7.563429e-06
0.10	8.68	7.961595e-06	7.879541e-06
0.10	8.72	8.288342e-06	8.160890e-06
0.10	8.76	8.590058e-06	8.412712e-06
0.10	8.80	8.873064e-06	8.642659e-06
0.10	8.84	9.146220e-06	8.861165e-06
0.10	8.88	9.420017e-06	9.080535e-06
0.10	8.92	9.706642e-06	9.315053e-06
0.10	8.96	1.001969e-05	9.580330e-06
0.10	9.00	1.037181e-05	9.890841e-06
