7.07946e+20  6.27205 1.91245  120.78 0.0351617
6.91831e+20  6.29629 1.90707  121.243 0.0358879
6.76083e+20  6.22625 1.9185  122.24 0.0344355
6.60693e+20  6.36696 1.84525  122.876 0.0350808
6.45654e+20  6.42855 1.84326  122.247 0.0351762
6.30957e+20  6.48982 1.86775  123.204 0.0365755
6.16595e+20  6.4128 1.79569  121.109 0.0370129
6.0256e+20  6.6013 1.81977  126.752 0.0361145
5.88844e+20  6.30481 1.74666  120.981 0.0361043
5.7544e+20  6.36896 1.80085  121.431 0.0359779
5.62341e+20  6.60159 1.72964  122.7 0.0368477
5.49541e+20  6.48868 1.75064  118.909 0.0359758
5.37032e+20  6.88619 1.70593  121.324 0.0365501
5.24807e+20  6.6293 1.69326  121.384 0.0366564
5.12861e+20  6.61678 1.67867  121.242 0.0362568
5.01187e+20  6.64262 1.6622  125.549 0.0362564
4.89779e+20  6.68093 1.69294  119.022 0.0361183
4.7863e+20  6.88544 1.61355  122.951 0.0368136
4.67735e+20  6.71554 1.64594  124.314 0.036755
4.57088e+20  6.92359 1.57197  124.269 0.0384297
4.46684e+20  6.93204 1.60968  126.032 0.0374651
4.36516e+20  7.05594 1.6114  120.354 0.0363941
4.2658e+20  7.23063 1.58225  124.069 0.0369908
4.16869e+20  7.0724 1.54944  121.535 0.0372957
4.0738e+20  7.04821 1.57381  120.891 0.0361457
3.98107e+20  7.05914 1.52968  121.855 0.0372816
3.89045e+20  7.09634 1.55583  125.488 0.0368414
3.80189e+20  7.45454 1.48121  118.481 0.0371671
3.71535e+20  7.3883 1.47178  120.649 0.0374616
3.63078e+20  7.12234 1.49912  121.402 0.0376279
3.54813e+20  7.23167 1.45986  125.02 0.037743
3.46737e+20  7.43794 1.46577  126.074 0.0378572
3.38844e+20  7.46288 1.44762  124.308 0.0381727
3.31131e+20  7.51568 1.44759  122.673 0.0377906
3.23594e+20  7.51764 1.42682  120.25 0.0371223
3.16228e+20  7.32695 1.40378  123.005 0.037468
3.0903e+20  7.70351 1.42039  122.117 0.0377347
3.01995e+20  7.54257 1.37716  123.745 0.0382837
2.95121e+20  7.55467 1.3768  119.684 0.0389183
2.88403e+20  7.66791 1.35602  122.521 0.0376864
2.81838e+20  7.86465 1.35893  126.023 0.0381742
2.75423e+20  7.54402 1.32963  124.225 0.0388159
2.69153e+20  7.69357 1.32932  122.747 0.0375768
2.63027e+20  7.86656 1.30303  122.779 0.0370502
2.5704e+20  8.19912 1.29063  124.663 0.038971
2.51189e+20  7.78231 1.28415  121.489 0.0391069
2.45471e+20  8.02916 1.32236  121.144 0.0388837
2.39883e+20  8.01995 1.29255  120.741 0.0401847
2.34423e+20  8.15466 1.28786  126.423 0.0386309
2.29087e+20  7.80572 1.23965  120.789 0.0391322
2.23872e+20  8.0722 1.27482  120.723 0.0386898
2.18776e+20  8.19874 1.26896  122.886 0.0393927
2.13796e+20  8.26841 1.23026  122.143 0.0391527
2.0893e+20  8.14192 1.15472  120.633 0.0397299
2.04174e+20  8.22382 1.25599  121.976 0.0382394
1.99526e+20  8.07041 1.18009  120.97 0.0400246
