A  	Element	Z  	N  	Energy  	JPi           	Mass Exc  	Unc  	T1/2 (txt)               	T1/2 (seconds)           	Abund.    	Unc     	Dec Mode	Branching (%) 
24 	N      	7  	17 	0.0000  	              	47.5      	4    	52 NS LT                 	5.2E-8                   	          	        	N       	?           
12 	O      	8  	4  	0.0000  	0+            	32.048    	18   	0.40 MEV 25              	1.139E-21                	          	        	P       	            
13 	O      	8  	5  	0.0000  	(3/2-)        	23.115    	10   	8.58 MS 5                	0.00858                  	          	        	EC      	100.00      
13 	O      	8  	5  	0.0000  	(3/2-)        	23.115    	10   	8.58 MS 5                	0.00858                  	          	        	EP      	100.00      
14 	O      	8  	6  	0.0000  	0+            	8.00740   	11   	70.620 S 15              	70.62                    	          	        	EC      	100.00      
15 	O      	8  	7  	0.0000  	1/2-          	2.8556    	5    	122.24 S 16              	122.24                   	          	        	EC      	100.00      
16 	O      	8  	8  	0.0000  	0+            	**********	16   	STABLE                   	infinity                 	99.757%   	16      	        	            
17 	O      	8  	9  	0.0000  	5/2+          	-0.8087000	6    	STABLE                   	infinity                 	0.038%    	1       	        	            
18 	O      	8  	10 	0.0000  	0+            	-0.7828000	7    	STABLE                   	infinity                 	0.205%    	14      	        	            
19 	O      	8  	11 	0.0000  	5/2+          	3.334     	3    	26.88 S 5                	26.88                    	          	        	B-      	100.00      
20 	O      	8  	12 	0.0000  	0+            	3.7961    	9    	13.51 S 5                	13.51                    	          	        	B-      	100.00      
21 	O      	8  	13 	0.0000  	(5/2+)        	8.062     	12   	3.42 S 10                	3.42                     	          	        	B-      	100.00      
22 	O      	8  	14 	0.0000  	0+            	9.28      	6    	2.25 S 9                 	2.25                     	          	        	B-      	100.00      
22 	O      	8  	14 	0.0000  	0+            	9.28      	6    	2.25 S 9                 	2.25                     	          	        	BN      	< 22.00     
23 	O      	8  	15 	0.0000  	1/2+          	14.62     	9    	97 MS 8                  	0.097                    	          	        	B-      	100.00      
23 	O      	8  	15 	0.0000  	1/2+          	14.62     	9    	97 MS 8                  	0.097                    	          	        	BN      	7.00        
24 	O      	8  	16 	0.0000  	0+            	18.50     	11   	65 MS 5                  	0.065                    	          	        	B-      	100.00      
24 	O      	8  	16 	0.0000  	0+            	18.50     	11   	65 MS 5                  	0.065                    	          	        	BN      	58.00       
26 	O      	8  	18 	0.0000  	0+            	35.14     	15   	40 NS LT                 	4E-8                     	          	        	N       	?           
14 	F      	9  	5  	0.0000  	(2-)          	31.96     	4    	                         	                         	          	        	P       	            
15 	F      	9  	6  	0.0000  	(1/2+)        	16.81     	7    	1.0 MEV 2                	4.557E-22                	          	        	P       	100.00      
16 	F      	9  	7  	0.0000  	0-            	10.680    	8    	40 KEV 20                	1.139E-20                	          	        	P       	100.00      
17 	F      	9  	8  	0.0000  	5/2+          	1.95170   	25   	64.49 S 16               	64.49                    	          	        	EC      	100.00      
18 	F      	9  	9  	0.0000  	1+            	0.8731    	5    	109.77 M 5               	6586.2                   	          	        	EC      	100.00      
19 	F      	9  	10 	0.0000  	1/2+          	-1.4874000	9    	STABLE                   	infinity                 	100%      	        	        	            
20 	F      	9  	11 	0.0000  	2+            	-0.01740  	3    	11.07 S 6                	11.07                    	          	        	B-      	100.00      
21 	F      	9  	12 	0.0000  	5/2+          	-0.0476   	18   	4.158 S 20               	4.158                    	          	        	B-      	100.00      
22 	F      	9  	13 	0.0000  	(4+)          	2.793     	12   	4.23 S 4                 	4.23                     	          	        	B-      	100.00      
22 	F      	9  	13 	0.0000  	(4+)          	2.793     	12   	4.23 S 4                 	4.23                     	          	        	BN      	< 11.00     
23 	F      	9  	14 	0.0000  	5/2+          	3.31      	10   	2.23 S 14                	2.23                     	          	        	B-      	100.00      
24 	F      	9  	15 	0.0000  	(1,2,3)+      	7.56      	7    	390 MS 70                	0.39                     	          	        	B-      	100.00      
24 	F      	9  	15 	0.0000  	(1,2,3)+      	7.56      	7    	390 MS 70                	0.39                     	          	        	BN      	< 5.90      
